5677,4686,4
3975,14120,4
15618,14120,3
19865,14120,4
4360,14120,1
9635,14120,1
13070,14120,2
15629,13178,5
9434,18707,5
14605,8277,5
13376,8277,5
18265,8277,1
2177,6894,1
21431,6894,5
11358,8639,5
21200,23030,3
5502,3333,5
11215,13989,5
10829,13989,4
14966,13989,5
23931,14873,5
935,14873,5
23858,14873,5
11465,11970,5
4855,11970,5
20062,11970,5
16337,11349,5
10156,11349,3
487,2057,5
9049,2057,4
20934,14530,5
10633,18723,4
5687,5529,3
17764,5529,5
1243,2972,5
16490,2972,5
1243,20612,5
16490,20612,5
6409,2349,5
19197,20720,5
2913,15753,5
7002,15753,4
19178,13103,4
23566,13103,5
15423,13103,4
8872,9078,5
20872,12151,2
5903,12151,1
22031,10618,2
9577,15983,5
22189,8665,5
15491,8665,5
7501,13584,4
9094,13584,5
2908,13584,5
6045,10318,5
7501,10318,4
10803,10318,5
22181,10318,4
8229,10318,4
13934,10318,5
18139,10318,5
5435,8221,5
9098,8221,5
13783,476,4
4919,476,5
2358,476,5
6543,476,5
17150,476,5
10633,476,5
12903,476,5
1921,19752,5
21911,19752,5
8769,2610,5
1752,6614,5
13355,6614,4
23304,6614,5
19896,6614,5
3745,6614,5
2947,6614,5
21422,6614,5
10633,14768,5
17571,4115,5
18499,4115,5
9094,4115,5
23687,23619,5
12670,23619,5
19965,23619,4
9061,23619,4
18835,23619,4
7568,23619,5
17465,23619,5
21392,23619,5
10636,23619,5
16381,23619,3
21465,23619,5
5275,23619,5
10362,23619,5
5859,23619,5
5705,8188,5
11236,8188,3
2656,8188,3
23502,8188,1
4333,21004,4
15491,13139,4
5243,9524,3
1327,9524,5
3784,9524,2
13269,9524,5
13801,9524,5
16795,9524,5
14658,9524,5
9144,9524,5
562,9524,5
8911,9524,4
24149,9524,5
18139,18896,4
24526,14574,5
1243,14574,4
17571,5868,4
5935,5237,2
24645,5237,4
1661,5237,3
10305,15886,4
22922,23002,5
15292,23002,4
5488,23002,3
2533,23002,5
14997,23002,4
21057,23002,5
11362,23002,5
13026,23002,5
24174,12766,5
7700,2120,4
18866,253,5
19102,4508,5
5435,4508,4
17295,4508,5
22904,4508,3
5435,6976,5
5620,6976,4
4727,6976,4
6622,6976,4
4794,20687,5
18701,20687,4
1387,9244,5
9110,15576,5
23464,8787,5
13934,8787,4
7606,18725,3
10447,18725,5
1696,18725,5
2370,18725,4
3397,18725,5
3153,3138,5
21697,3138,5
11378,182,4
1174,4425,4
1110,8696,5
13591,10807,5
15747,10807,5
4813,10807,4
10365,5507,1
10249,1778,2
7696,19899,5
8126,19899,5
9904,20730,3
10249,20730,5
3204,6668,4
20194,9474,5
1752,9474,5
7474,9345,5
5731,9345,3
1110,9345,5
344,9345,4
10250,11576,4
13770,11025,4
19763,10089,5
12694,4504,5
4328,4504,5
11027,3719,1
14195,18156,5
18087,18156,5
23917,18156,5
18701,5618,5
18663,5618,5
5105,5618,4
16085,5618,5
3333,5618,5
8476,5618,5
7171,10389,3
18298,22560,3
20194,22560,4
4372,22560,5
2945,22560,5
21358,22560,5
9223,22560,5
24091,22560,4
2533,21497,4
1243,21497,2
6086,21497,5
5903,21178,2
22627,3704,4
7834,3704,5
17865,3704,5
4677,3704,5
6543,16451,5
23380,22621,5
23463,3365,1
3046,3365,1
14825,5462,4
10156,5462,5
17132,5462,5
13039,5462,5
6338,15639,4
12009,15639,5
19984,15639,3
8393,15639,5
6084,17848,5
14538,17848,4
18781,1659,5
13355,20617,4
3153,8890,5
21874,8890,5
16780,8890,5
12208,8890,3
13519,8890,5
15319,8890,5
6216,8890,3
18463,8890,5
15531,8890,5
8948,8890,5
20227,8890,4
17199,8890,4
11977,8890,5
14011,8890,5
6525,8890,5
17737,8890,5
20158,8890,5
5110,8890,5
19714,8890,5
1110,8890,5
9936,8890,5
9010,12426,5
5056,12426,5
17057,12478,4
16138,10942,5
23531,4243,3
16135,4243,5
22393,11931,4
13208,11931,5
21087,12412,3
16693,16537,5
14200,16537,5
16151,16537,5
